STRIKE_PRICE,TRADING_SYMBOL,INSTRUMENT_TOKEN,OPTION
21800,NIFTY24D1221800CE,11742978,CE
21800,NIFTY24D1221800PE,11743234,PE
21850,NIFTY24D1221850CE,11744002,CE
21850,NIFTY24D1221850PE,11744514,PE
21900,NIFTY24D1221900CE,11744770,CE
21900,NIFTY24D1221900PE,11748354,PE
21950,NIFTY24D1221950CE,11748610,CE
21950,NIFTY24D1221950PE,11749122,PE
22000,NIFTY24D1222000CE,11749378,CE
22000,NIFTY24D1222000PE,11749634,PE
22050,NIFTY24D1222050CE,11750658,CE
22050,NIFTY24D1222050PE,11750914,PE
22100,NIFTY24D1222100CE,11751426,CE
22100,NIFTY24D1222100PE,11751682,PE
22150,NIFTY24D1222150CE,11752450,CE
22150,NIFTY24D1222150PE,11752706,PE
22200,NIFTY24D1222200CE,11753218,CE
22200,NIFTY24D1222200PE,11753474,PE
22250,NIFTY24D1222250CE,11753730,CE
22250,NIFTY24D1222250PE,11753986,PE
22300,NIFTY24D1222300CE,11754242,CE
22300,NIFTY24D1222300PE,11761666,PE
22350,NIFTY24D1222350CE,11761922,CE
22350,NIFTY24D1222350PE,11762434,PE
22400,NIFTY24D1222400CE,11763458,CE
22400,NIFTY24D1222400PE,11763714,PE
22450,NIFTY24D1222450CE,11763970,CE
22450,NIFTY24D1222450PE,11764226,PE
22500,NIFTY24D1222500CE,11766274,CE
22500,NIFTY24D1222500PE,11771138,PE
22550,NIFTY24D1222550CE,11771394,CE
22550,NIFTY24D1222550PE,11772674,PE
22600,NIFTY24D1222600CE,11772930,CE
22600,NIFTY24D1222600PE,11775490,PE
22650,NIFTY24D1222650CE,11776258,CE
22650,NIFTY24D1222650PE,11776514,PE
22700,NIFTY24D1222700CE,11776770,CE
22700,NIFTY24D1222700PE,11778818,PE
22750,NIFTY24D1222750CE,11779074,CE
22750,NIFTY24D1222750PE,11779330,PE
22800,NIFTY24D1222800CE,11779586,CE
22800,NIFTY24D1222800PE,11779842,PE
22850,NIFTY24D1222850CE,11780098,CE
22850,NIFTY24D1222850PE,11781890,PE
22900,NIFTY24D1222900CE,11782146,CE
22900,NIFTY24D1222900PE,11782402,PE
22950,NIFTY24D1222950CE,11782658,CE
22950,NIFTY24D1222950PE,11783426,PE
23000,NIFTY24D1223000CE,11783682,CE
23000,NIFTY24D1223000PE,11783938,PE
23050,NIFTY24D1223050CE,11784450,CE
23050,NIFTY24D1223050PE,11785218,PE
23100,NIFTY24D1223100CE,11785474,CE
23100,NIFTY24D1223100PE,11785730,PE
23150,NIFTY24D1223150CE,11785986,CE
23150,NIFTY24D1223150PE,11786242,PE
23200,NIFTY24D1223200CE,11786498,CE
23200,NIFTY24D1223200PE,11786754,PE
23250,NIFTY24D1223250CE,11787010,CE
23250,NIFTY24D1223250PE,11787266,PE
23300,NIFTY24D1223300CE,11788546,CE
23300,NIFTY24D1223300PE,11788802,PE
23350,NIFTY24D1223350CE,11789058,CE
23350,NIFTY24D1223350PE,11789314,PE
23400,NIFTY24D1223400CE,11790082,CE
23400,NIFTY24D1223400PE,11790338,PE
23450,NIFTY24D1223450CE,11790594,CE
23450,NIFTY24D1223450PE,11790850,PE
23500,NIFTY24D1223500CE,11791106,CE
23500,NIFTY24D1223500PE,11791362,PE
23550,NIFTY24D1223550CE,11793666,CE
23550,NIFTY24D1223550PE,11793922,PE
23600,NIFTY24D1223600CE,11794178,CE
23600,NIFTY24D1223600PE,11794434,PE
23650,NIFTY24D1223650CE,11794690,CE
23650,NIFTY24D1223650PE,11794946,PE
23700,NIFTY24D1223700CE,11795202,CE
23700,NIFTY24D1223700PE,11795458,PE
23750,NIFTY24D1223750CE,11795714,CE
